"";"classe 1";"classe 2";"classe 3";"classe 4"
"baixar";-1,384;0,421;1,262;-0,062
"autorizativo";-2,21;10,313;0,658;-5,778
"automovel";-4,501;-6,871;-1,28;29,271
"automatico";-4,501;4,182;3,178;-1,444
"australia";-4,847;-7,4;-1,378;31,524
"assentamento";-4,847;-4,658;-1,378;25,355
"aparencia";-0,957;0,425;-1,378;0,962
"antijuridicidade";-4,847;0,425;-1,378;4,577
"anotacao";6,688;-0,008;-1,181;-2,835
"angelo";0,091;-0,002;-0,295;0,009
"ampliativa";-4,501;4,182;-0,026;0
"amaral";-1,591;-3,158;-1,083;13,467
"agraciar";-2,528;8,412;-0,057;-1,785
"aeronave";-4,847;-7,4;-1,378;31,524
"aditar";2,156;3,155;-1,378;-6,222
"adiamento";-2,528;1,474;-1,378;0,962
"acidente";-4,847;-4,658;-1,378;25,355
"acessibilidade";-1,898;-0,008;-0,006;2,086
"acatar";1,107;-0,759;-1,28;0,362
"zagrebelsky";-3,462;-5,285;-0,984;22,515
"wanderson";0,091;-1,585;-0,295;1,816
"vistoria";0,014;-5,813;-1,083;9,098
"vinicius";3,621;-1,274;0,244;-0,892
"viciado";-3,808;10,86;-1,083;-0,817
"valorativo";-4,501;4,182;-1,28;0,362
"uti";-3,462;-5,285;-0,984;22,515
"utero";-4,501;-6,871;-1,28;29,271
"usurpar";-3,808;10,86;-1,083;-0,817
"unificado";-4,501;-2,116;-1,28;17,709
"uberx";-1,731;-2,642;-0,492;11,256
"transcurso";0,365;2,997;-1,181;-2,835
"tragedia";-1,591;-3,158;-1,083;13,467
"tipificacao";-1,591;0,016;-1,083;2,923
"temperamento";-1,898;8,675;-1,181;-1,12
"teixeira";4,198;-4,756;-0,886;0,791
"sof";-4,501;-6,871;73,65;-0,361
"sobressair";-4,501;2,136;0,658;0
"sobrenome";-3,808;-5,813;-1,083;24,767
"sisnama";-4,501;-4,153;-1,28;23,129
"roteiro";0,274;1,753;-0,886;-1,632
"rn";6,157;-0,939;-0,984;-0,544
"rigidez";-0,047;0,772;-0,026;-0,361
"restinga";-3,808;-5,813;-1,083;24,767
"rendimento";-0,047;-2,116;13,878;-0,361
"remontar";-2,21;0,087;-1,28;3,254
"remissao";-0,726;0,772;-1,28;0,362
"relevantissima";-0,726;-0,083;-0,026;1,447
"releitura";-4,501;19,166;-1,28;-3,249
"relativizar";-2,21;0,087;-1,28;3,254
"reformar";0,174;2,136;-1,28;-1,444
"queimar";-4,154;-6,342;-1,181;27,019
"qualitativo";-2,21;-0,083;3,178;0,362
"prudente";1,107;-2,116;-0,026;0,362
"promessa";-3,462;0,13;0,013;1,738
"prolacao";12,895;-0,759;-1,28;-3,249
"preocupado";-2,21;-2,116;-1,28;13,011
"praticabilidade";-4,501;-6,871;-1,28;29,271
"powers";-2,769;15,145;-0,787;-3,555
"perpetuidade";-2,21;2,136;-1,28;0,362
"percorrer";-4,501;-0,083;0,658;3,254
"partilhar";-3,462;0,13;-0,984;4,015
"paroquial";-2,21;-6,871;110,766;-5,778
"parlamentarista";-4,154;12,619;-1,181;-1,12
"paridade";-2,21;14,4;-1,28;-3,249
"paralelismo";-2,21;4,182;-1,28;0
"palestra";-3,462;-5,285;-0,984;22,515
"padecer";-0,726;0,087;-1,28;1,447
"ouvidor";-2,423;13,251;-0,689;-3,11
"oswaldo";-4,154;-3,653;0,874;11,03
"orcar";-4,501;-4,153;57,921;-0,361
"opacidade";-1,898;-1,701;24,79;-0,187
"oligarquia";-4,501;0,087;0,658;1,447
"ocultar";-1,591;-3,158;40,332;-0,817
"nexo";5,39;-2,116;-1,28;0
"mutacao";-3,808;-1,306;-1,083;13,467
"moto";-1,038;-1,585;-0,295;6,753
"mortalidade";-4,501;-6,871;-1,28;29,271
"monografia";-4,154;-0,486;8,744;0,67
"miocardite";-4,154;-6,342;-1,181;27,019
"merlin";-2,21;-6,871;-1,28;23,129
"marcio";0,582;-4,228;0,123;1,391
"lumen";-4,501;6,907;-1,28;0
"louvavel";2,845;-0,083;-0,026;-1,444
"lotado";-4,501;-6,871;-1,28;29,271
"legenda";-4,501;14,4;-0,026;-3,249
"klaus";-4,501;19,166;-1,28;-3,249
"kit";-2,21;-6,871;7,585;5,784
"juliano";10,432;-0,85;-0,591;-2,666
"jornalista";-0,726;-6,871;-1,28;17,709
"itinerario";-3,808;-0,259;-1,083;9,098
"introdutorio";1,107;-0,759;-1,28;0,362
"intolerancia";-4,501;-6,871;-1,28;29,271
"interpessoal";-2,21;-2,116;-1,28;13,011
"internar";-3,116;-4,756;-0,886;20,263
"interestadual";-2,423;-3,699;3,302;5,437
"inferioridade";-4,501;-6,871;-1,28;29,271
"indiscutivel";-0,726;-2,116;-1,28;9,036
"incorporado";-0,047;-2,116;-1,28;5,784
"impetrante";-0,003;2,997;-0,006;-2,835
"imperscrutavel";-4,501;-6,871;132,155;-5,778
"ibsen";-3,808;20,826;-1,083;-4,888
"honrar";-2,21;0,772;3,178;-0,361
"henry";-1,038;-0,002;-0,295;1,816
"guia";-3,808;-0,259;-1,083;9,098
"grandeza";-4,154;-0,486;-1,181;11,03
"ghs";-4,154;-6,342;-1,181;27,019
"fulminar";3,708;-0,008;-1,181;-1,12
"fortiori";0,174;-0,759;-1,28;1,447
"fito";-0,726;-0,083;3,178;0
"filipino";-4,501;-6,871;-1,28;29,271
"fagundes";-4,501;-2,116;-1,28;17,709
"estruturar";-0,726;2,136;-0,026;-0,361
"esgotado";5,39;-0,083;-0,026;-3,249
"escrutinar";1,107;0,087;-1,28;-0,361
"escandalo";-4,154;-6,342;100,677;-2,835
"erosao";-1,898;-0,486;-1,181;7,266
"erario";-1,898;5,467;3,787;-5,333
"enderecar";-0,726;-0,083;13,878;-1,444
"emancipacao";12,895;-2,116;-1,28;-1,444
"elucidar";0,174;0,772;-1,28;-0,361
"elencadas";-4,501;2,136;0,658;0
"economic";-3,462;-5,285;-0,984;22,515
"duradouro";-4,501;0,087;-1,28;5,784
"doar";-4,154;-6,342;-0,006;20,907
"distribuidor";7,716;-2,642;-0,492;-0,272
"difusao";-4,501;-4,153;-1,28;23,129
"dialogico";1,107;0,772;-0,026;-3,249
"desnecessidade";-0,047;2,136;-1,28;-0,361
"desnaturar";-0,047;0,772;3,178;-3,249
"desistencia";31,793;-5,813;-1,083;-4,888
"desfigurar";-4,501;24,614;-1,28;-5,778
"desfigurado";-4,501;24,614;-1,28;-5,778
"desfavor";3,708;1,264;-1,181;-5,333
"desdobrar";-4,501;10,313;-0,026;-1,444
"denso";8,74;-0,759;-0,026;-3,249
"defeito";12,734;-0,259;-1,083;-4,888
"cumulativo";0,274;4,1;-0,886;-3,999
"cotejar";-0,514;-0,008;-1,181;2,086
"corregedoria";-0,047;2,136;0,658;-3,249
"coord";-4,501;-6,871;-1,28;29,271
"contrair";-4,154;-3,653;-1,181;20,907
"contingente";-4,154;-1,701;15,745;0,67
"contestacao";-2,21;0,772;3,178;-0,361
"constranger";-2,21;0,772;-1,28;1,447
"consignei";0,014;0,016;-1,083;0,162
"conselheiro";0,654;4,11;-1,083;-4,888
"consciente";-4,154;-3,653;-1,181;20,907
"comunicado";0,365;-1,701;-1,181;2,086
"comocao";-2,21;4,182;-1,28;0
"comissionar";-2,21;-0,083;-1,28;5,784
"cogente";-4,501;6,907;-0,026;-0,361
"coesao";-0,726;-2,116;-1,28;9,036
"cliente";-0,171;-2,67;-0,984;7,231
"cleve";-2,21;-6,871;-1,28;23,129
"clemerson";-2,21;-6,871;-1,28;23,129
"chegada";-4,154;-0,486;-1,181;11,03
"checks";-4,501;6,907;0,658;-1,444
"carteira";-3,116;-4,756;-0,886;20,263
"carcinogenico";-4,501;-6,871;-1,28;29,271
"boca";-4,501;-6,871;-1,28;29,271
"biocombustiveis";-2,423;-3,699;-0,689;15,759
"bater";-1,898;-6,342;-1,181;20,907
"balanco";-4,501;-4,153;13,878;3,254
"balancar";-4,501;10,313;0,658;-3,249
"autorizativa";-4,154;5,467;0,874;-1,12
"autoritarismo";-1,898;-6,342;-1,181;20,907
"autoincriminacao";-3,808;4,11;-1,083;0,162
"autogoverno";-0,726;2,136;-1,28;0
"atlantico";-4,154;-6,342;-1,181;27,019
"assassino";-4,501;-4,153;-1,28;23,129
"arrecadar";-4,501;-0,759;13,878;0,362
"antagonico";-2,21;0,772;-1,28;1,447
"anizio";-4,501;-6,871;-1,28;29,271
"andar";-0,726;-6,871;-1,28;17,709
"ambiencia";0,174;2,136;-1,28;-1,444
"alianca";0,174;2,136;-1,28;-1,444
"aleatorio";-4,501;-0,759;32,126;-0,361
"africar";-4,154;-3,653;-1,181;20,907
"afixar";-4,501;-6,871;-1,28;29,271
"aeroporto";-4,501;-6,871;-1,28;29,271
"aereo";-4,501;-6,871;-1,28;29,271
"acomodar";-2,21;0,772;0,658;0
"acionamento";-0,514;2,997;-0,006;-1,12
"abin";-0,726;4,182;-1,28;-0,361
"xeque";4,79;-3,158;-1,083;0,162
"walter";-0,327;-0,259;-1,083;2,923
"von";-2,423;-1,274;-0,689;9,927
"virar";1,6;-6,342;-1,181;4,285
"vil";-2,423;0,213;3,302;-0,016
"vicioso";-4,154;-6,342;-1,181;27,019
"veiculacao";0,014;-1,306;0;1,115
"unb";7,906;-4,756;-0,886;0,028
"twitter";-3,462;-5,285;-0,984;22,515
"triste";-0,327;-5,813;-1,083;13,467
"tributacao";-1,591;0,016;-1,083;2,923
"tratoraco";6,688;-6,342;8,744;-2,835
"trator";-4,154;-6,342;15,745;4,285
"transfronteirico";-3,808;-5,813;-1,083;24,767
"titulacao";-4,154;-0,486;-1,181;11,03
"testar";-3,808;-5,813;-1,083;24,767
"terrorista";-4,154;-6,342;-1,181;27,019
"terreno";-0,731;-0,324;0,123;1,391
"temor";-4,154;-1,701;-1,181;15,577
"taxista";-2,423;-1,274;-0,689;9,927
"tarcisio";3,708;1,264;-1,181;-5,333
"surplus";-1,731;-2,642;-0,492;11,256
"sucedaneo";27,339;-3,653;-1,181;-5,333
"subvencao";-4,154;-1,701;0,874;7,266
"south";-3,808;-5,813;-1,083;24,767
"socioambientais";-4,154;-6,342;0,874;15,577
"sistematicidade";-4,154;17,301;-1,181;-2,835
"sincero";0,365;-0,486;-1,181;0,67
"silvia";-3,116;-4,756;-0,886;20,263
"sentinela";-4,154;-6,342;-1,181;27,019
"scaff";-4,154;-6,342;64,19;-0,187
"rocar";5,088;-2,114;1,262;-1,777
"revisar";-1,591;0,016;0;1,115
"reversao";-0,085;-0,469;5,908;-0,272
"reverenciar";-4,154;5,467;-1,181;0,037
"ressocializacao";-3,808;1,941;-1,083;1,115
"respaldar";-1,898;1,264;-0,006;0,037
"remanescer";-0,514;8,675;-1,181;-2,835
"remanejamento";-4,154;-3,653;100,677;-5,333
"reincidencia";-1,898;8,675;-1,181;-1,12
"reexame";20,867;-6,342;-1,181;-1,12
"rediscussao";20,867;-1,701;-1,181;-5,333
"reconducoes";-1,591;15,441;-1,083;-4,888
"raiz";-4,154;-0,486;-1,181;11,03
"quesitacao";-1,898;1,264;-1,181;0,67
"queiroz";0,091;-1,585;-0,295;1,816
"queimado";-1,898;-6,342;-1,181;20,907
"queda";-4,154;-6,342;-1,181;27,019
"qua";-4,154;0,267;-0,006;2,086
"protetiva";-4,154;-6,342;-1,181;27,019
"privatizacao";0,365;1,264;-1,181;-1,12
"privatividade";-1,898;17,301;-1,181;-5,333
"president";-1,384;-0,162;-0,394;3,676
"preocupante";-4,154;-6,342;-0,006;20,907
"preferir";-4,154;1,264;-1,181;2,086
"prazer";15,268;-1,701;-1,181;-2,835
"pratico";-0,514;5,467;-1,181;-1,12
"postagem";-1,898;-6,342;-1,181;20,907
"polo";-3,462;-0,939;0,013;7,231
"pluralizacao";27,339;-3,653;-1,181;-5,333
"piscar";-1,384;0,421;-0,394;0,695
"pfizer";-4,154;-6,342;-1,181;27,019
"perenizacao";-4,154;22,72;-1,181;-5,333
"pecha";-0,003;-1,701;0,874;0,67
"patrono";27,339;-6,342;-0,006;-5,333
"parque";-4,154;-6,342;-1,181;27,019
"parental";-4,154;-3,653;-1,181;20,907
"pacificado";10,542;-0,008;-1,181;-5,333
"og";28,902;-5,285;-0,984;-4,444
"moratorio";-4,154;-6,342;121,986;-5,333
"montesquieu";-1,591;-0,259;-1,083;5,584
"monarquico";-3,808;-0,259;-1,083;9,098
"ministrar";-4,154;-1,701;-0,006;11,03
"migrar";0,365;-0,486;-1,181;0,67
"mediato";-1,898;-1,701;64,19;-5,333
"mdr";-1,005;-4,756;70,515;-3,999
"machista";-0,514;-6,342;-1,181;15,577
"macedo";0,03;-3,699;3,302;0,481
"licitatorio";-0,003;1,264;-0,006;-1,12
"lhaka";-4,154;-6,342;-1,181;27,019
"letivo";34,684;-6,342;-1,181;-5,333
"lance";-4,154;-3,653;-1,181;20,907
"labor";-0,057;-0,607;-0,886;2,598
"justicia";-4,154;-0,008;-1,181;7,266
"judicante";-1,898;17,301;-1,181;-5,333
"jesus";-1,898;1,264;-1,181;0,67
"ives";-0,003;0,267;-0,006;-0,187
"irresignacao";0,365;1,264;-1,181;-1,12
"intoleravel";-1,898;-3,653;-1,181;15,577
"inter";0,365;-0,008;-0,006;-0,187
"instante";-0,514;0,267;-0,006;0,037
"instabilidade";0,365;2,997;-1,181;-2,835
"insculpido";-0,514;2,997;-1,181;-0,187
"inovador";-0,514;-0,486;-0,006;2,086
"inocuo";15,268;-1,701;-1,181;-2,835
"infringir";-0,327;7,083;-1,083;-2,426
"inflacao";-3,462;-0,092;1,495;1,738
"inesperado";-0,257;-0,004;-0,591;1,043
"ineficiencia";3,708;-3,653;3,787;-1,12
"indesejado";3,708;-0,486;-0,006;-1,12
"indeferi";18,135;-1,306;-1,083;-4,888
"incursao";0,365;2,997;-1,181;-2,835
"incontroverso";10,542;-1,701;-1,181;-1,12
"inconformismo";12,734;-0,259;-1,083;-4,888
"inadmissao";20,867;-3,653;-1,181;-2,835
"inadimplencia";-4,154;0,267;-1,181;4,285
"imperial";-1,898;1,264;-1,181;0,67
"ignorado";-4,154;-0,486;-1,181;11,03
"honhat";-4,154;-6,342;-1,181;27,019
"heterodoxia";15,268;-1,701;-1,181;-2,835
"hegemonico";-4,154;2,997;-1,181;0,67
"grosseiro";15,268;-6,342;-1,181;-0,187
"gravidez";-4,154;-6,342;-1,181;27,019
"governabilidade";-4,154;0,267;0,874;0,67
"ghtml";-4,154;-6,342;-0,006;20,907
"george";-3,116;-2,19;-0,886;14,281
"gandra";-0,003;0,267;-0,006;-0,187
"filtro";-1,898;-1,701;24,79;-0,187
"fidedigno";-4,154;-6,342;64,19;-0,187
"fidalgo";-4,154;-0,486;-1,181;11,03
"fichar";-3,808;7,083;-1,083;-0,063
"falecimento";-3,116;-0,006;-0,886;5,449
"facilidade";1,654;-0,006;0,051;-1,632
"facebook";-4,154;-6,342;-1,181;27,019
"fabricio";10,432;-0,85;-0,591;-2,666
"fabricar";-1,898;-6,342;-1,181;20,907
"extracao";-1,591;-3,158;0;9,098
"ext";31,793;-5,813;-1,083;-4,888
"exortar";-3,462;-0,092;1,495;1,738
"exiguidade";10,542;-3,653;0,874;-2,835
"eugenio";6,157;-2,67;0,013;-0,544
"esportivo";-3,808;-5,813;-1,083;24,767
"escrivao";-4,154;22,72;-1,181;-5,333
"equiparacao";-4,154;1,264;24,79;-5,333
"envio";-3,116;-0,607;36,756;-1,632
"ensinamento";1,6;-0,008;-1,181;-0,187
"enriquecer";27,339;-3,653;-1,181;-5,333
"engano";-1,898;1,264;-1,181;0,67
"elogio";24,488;-5,813;-1,083;-2,426
"elias";-0,478;-0,111;-0,689;2,288
"eleitoreiro";-0,171;1,053;0,013;-0,544
"efetuacao";-4,154;-6,342;121,986;-5,333
"dominacao";-3,808;-3,158;-1,083;18,69
"ditado";18,135;-3,158;-1,083;-2,426
"didatico";1,6;-0,486;-1,181;0,037
"designio";-4,154;-0,008;-1,181;7,266
"desiderato";-0,003;-1,701;-1,181;4,285
"desembargador";-1,898;1,264;-1,181;0,67
"descaracterizar";-3,808;-0,259;4,525;1,115
"descanso";-4,154;22,72;-1,181;-5,333
"demonstrativo";0,365;-6,342;24,79;-1,12
"delibacao";0,365;-0,486;-0,006;0,037
"deleterio";-4,154;-0,486;-1,181;11,03
"decadencia";0,365;5,467;-1,181;-5,333
"curva";-1,898;-6,342;-1,181;20,907
"cursar";20,867;-6,342;-1,181;-1,12
"curricular";0,014;-1,306;-1,083;2,923
"culpado";-4,154;0,267;-1,181;4,285
"cristalino";-0,514;2,997;-1,181;-0,187
"continuo";-1,898;-6,342;-1,181;20,907
"consumer";-1,384;-2,114;-0,394;9,004
"constitucionales";-3,116;-4,756;-0,886;20,263
"constitucion";-4,154;-6,342;-1,181;27,019
"consorciar";0,014;-5,813;0;5,584
"conclusivo";-1,591;4,11;1,148;-2,426
"concessivo";4,79;0,576;-1,083;-4,888
"concessionario";-3,116;1,753;-0,886;0,791
"compensatorio";-4,154;-6,342;8,744;7,266
"colaciono";8,286;-0,259;-1,083;-2,426
"coelho";0,535;-2,642;-0,492;2,007
"cmn";26,011;-4,756;-0,886;-3,999
"clandestino";-0,057;-4,756;-0,886;9,343
"church";-3,808;-5,813;-1,083;24,767
"cedula";-0,478;1,577;-0,689;-0,016
"canto";-0,085;-0,469;-0,492;2,007
"caluniandi";-4,154;-6,342;-1,181;27,019
"caetano";-1,591;-5,813;-1,083;18,69
"bicameralismo";-1,591;10,86;-1,083;-2,426
"bianco";26,011;-4,756;-0,886;-3,999
"beltrao";-3,808;-5,813;-1,083;24,767
"bailar";3,708;0,267;-1,181;-2,835
"azar";-3,462;0,13;0,013;1,738
"averiguar";-4,154;1,264;-0,006;0,67
"autodeterminacao";-4,154;-6,342;-1,181;27,019
"atingimento";-1,898;-3,653;0,874;7,266
"assumido";-4,154;8,675;-1,181;-0,187
"assertiva";-0,327;4,11;-1,083;-0,817
"assassinar";-4,154;-6,342;-1,181;27,019
"arruda";-3,808;15,441;-1,083;-2,426
"armamento";-3,808;-5,813;-1,083;24,767
"ariar";-4,154;-3,653;100,677;-5,333
"aprofundamento";-1,898;1,264;-0,006;0,037
"app";-1,898;-1,701;-1,181;11,03
"apertado";15,268;-6,342;-0,006;-1,12
"antemao";-0,003;1,264;-1,181;-0,187
"amendment";-4,154;-6,342;-1,181;27,019
"amazonico";-0,514;-0,486;-1,181;4,285
"alertar";-4,154;-1,701;3,787;4,285
"alcool";-4,154;-6,342;-1,181;27,019
"agrg";3,708;-6,342;-1,181;2,086
"acumulacao";-1,898;-3,653;-1,181;15,577
"aconselhar";-4,154;0,267;-1,181;4,285
"acionador";-4,154;22,72;-1,181;-5,333
"world";-2,423;-3,699;-0,689;15,759
"vitoriar";-3,116;-0,006;-0,886;5,449
"vestibular";7,906;-0,006;-0,886;-3,999
"vergastado";31,793;-5,813;-1,083;-4,888
"veracidade";1,069;0,13;-0,984;-0,544
"vender";-3,808;-3,158;-1,083;18,69
"variola";0,654;-5,813;-1,083;5,584
"transgenero";-3,808;-5,813;-1,083;24,767
"tragico";-3,462;-0,092;-0,984;7,231
"tracado";0,014;1,941;-1,083;-0,817
"tonico";-3,808;1,941;0;0,162
"toada";-1,591;-1,306;-1,083;9,098
"titularizado";-3,808;-5,813;0;18,69
"tereza";-3,462;-5,285;-0,984;22,515
"temerario";0,274;1,753;-0,886;-1,632
"telefonico";-3,808;7,083;-1,083;-0,063
"suportar";-1,591;-1,306;10,132;0,162
"sucedido";-0,171;1,053;-0,984;-0,003
"subjetividade";4,79;-1,306;-1,083;-0,063
"steven";-2,423;-3,699;-0,689;15,759
"solicitador";-3,462;-5,285;101,65;-4,444
"soldado";-1,591;-3,158;-1,083;13,467
"socorro";-3,808;1,941;-1,083;1,115
"sisnar";0,014;-5,813;-1,083;9,098
"sinduscon";23,12;-4,228;-0,787;-3,555
"sensu";-0,171;1,053;-0,984;-0,003
"sec";-3,116;-4,756;-0,886;20,263
"saraivajur";-1,591;-5,813;-1,083;18,69
"sanguineo";-3,808;-5,813;-1,083;24,767
"rotina";-1,591;-3,158;-1,083;13,467
"richard";-3,116;-2,19;-0,886;14,281
"retratacao";31,793;-5,813;-1,083;-4,888
"report";-2,423;-3,699;-0,689;15,759
"remca";5,088;-2,114;-0,394;-0,062
"religious";-3,116;-4,756;-0,886;20,263
"reintegracao";-1,293;0,13;0,013;0,401
"recrudescimento";-3,808;-3,158;-1,083;18,69
"reavaliar";-0,327;-3,158;-1,083;9,098
"reabertura";3,09;-2,67;-0,984;0,401
"psicologico";-3,808;-3,158;-1,083;18,69
"predicado";0,096;0,13;-0,984;-0,003
"preceituar";-1,591;-0,259;-1,083;5,584
"praia";-3,808;-5,813;-1,083;24,767
"potiguar";-3,808;-5,813;-1,083;24,767
"potestativo";0,096;-5,285;-0,984;7,231
"planta";-3,116;-4,756;-0,886;20,263
"peru";-3,808;0,016;-1,083;5,584
"pernicioso";-1,591;-5,813;-1,083;18,69
"perito";-1,005;4,1;-0,886;-0,308
"periferico";-3,462;9,127;0,013;-2,024
"perfilhar";4,79;-0,259;-1,083;-0,817
"pendenciar";15,435;-2,67;-0,984;-2,024
"penalizar";-1,384;-2,114;-0,394;9,004
"pele";-0,057;-4,756;-0,886;9,343
"pces";-3,808;-5,813;-1,083;24,767
"pcdob";18,135;-5,813;-1,083;-0,817
"passaporte";-1,591;-5,813;-1,083;18,69
"partida";-0,327;7,083;-1,083;-2,426
"pandemic";-3,116;-4,756;-0,886;20,263
"padronizacao";-3,808;-3,158;40,332;-0,063
"pacificacao";2,246;1,941;-1,083;-4,888
"otavio";-1,591;-5,813;-1,083;18,69
"oracao";-1,293;-0,939;-0,984;7,231
"opositor";-3,808;-5,813;0;18,69
"opm";-3,808;-5,813;-1,083;24,767
"omisso";-1,293;0,13;-0,984;1,738
"oc";-3,808;-5,813;-1,083;24,767
"nobreza";-0,327;-3,158;-1,083;9,098
"moeda";-3,116;-0,006;1,942;0,791
"modesto";-1,591;1,941;1,148;-0,817
"moderado";-3,808;0,016;-1,083;5,584
"modelagem";-3,808;-5,813;1,148;13,467
"mirar";10,178;-4,228;-0,787;-0,125
"meritorio";4,79;-1,306;0;-0,817
"mercosul";8,286;-3,158;-1,083;-0,063
"melar";-3,462;-0,092;-0,984;7,231
"marino";-3,116;-4,756;1,942;9,343
"marcus";7,716;-2,642;0,747;-2,222
"marcha";0,014;0,576;0;-0,817
"marcante";-1,591;-0,259;0;2,923
"luigi";-3,808;-1,306;-1,083;13,467
"loman";-3,462;18,932;-0,984;-4,444
"locucao";-3,808;7,083;-1,083;-0,063
"livraria";-3,808;-5,813;-1,083;24,767
"linde";-3,808;-3,158;-1,083;18,69
"limpeza";-3,808;-5,813;-1,083;24,767
"liii";-1,591;15,441;-1,083;-4,888
"liberado";15,435;-2,67;-0,984;-2,024
"lavagem";-3,462;9,127;-0,984;-0,544
"lando";-3,808;-5,813;111,818;-4,888
"lancamento";-0,327;1,941;-1,083;-0,063
"laico";-3,808;-5,813;-1,083;24,767
"kassio";-0,327;-0,259;-1,083;2,923
"jair";-3,808;0,576;0;1,115
"it";-1,731;-2,642;-0,492;11,256
"iorque";-3,462;-5,285;-0,984;22,515
"inverter";-1,591;4,11;0;-0,817
"inveridico";-3,808;-5,813;-1,083;24,767
"intimidar";-3,116;-0,006;-0,886;5,449
"intermediacao";-3,808;-0,259;-1,083;9,098
"interligar";0,014;-3,158;0;2,923
"interagir";-1,591;-1,306;-1,083;9,098
"injuncao";2,246;0,576;-1,083;-2,426
"inidoneo";24,488;-3,158;-1,083;-4,888
"informatizado";-0,257;-0,85;12,393;-0,56
"ineficacia";0,654;-1,306;-1,083;1,115
"indultado";-3,808;15,441;-1,083;-2,426
"indulgenciar";-0,731;2,76;-0,787;-0,125
"individualizacao";-3,808;-5,813;90,602;-2,426
"indenizar";-3,808;-1,306;-1,083;13,467
"indelevel";-0,327;0,576;-1,083;0,162
"incondicional";-3,808;-3,158;-1,083;18,69
"inconcebivel";-1,591;-0,259;17,969;-0,817
"inaugural";0,654;1,941;-1,083;-2,426
"inaudito";12,734;-5,813;4,525;-4,888
"inabilitacao";0,014;7,083;-1,083;-4,888
"impresso";-1,005;-4,756;-0,886;14,281
"impressionar";-3,462;9,127;-0,984;-0,544
"ilacao";-3,116;1,753;-0,886;0,791
"idh";-3,116;-4,756;23,965;0,791
"id";-0,327;-3,158;-1,083;9,098
"hungria";-0,057;-2,19;-0,886;5,449
"homenagear";-1,591;1,941;-1,083;0,162
"hermeneuticamente";-3,808;20,826;-1,083;-4,888
"government";-1,731;-2,642;-0,492;11,256
"goulart";-1,731;9,465;-0,492;-2,222
"genese";0,014;1,941;1,148;-4,888
"gees";-1,293;-5,285;0,013;11,386
"fundante";-3,808;7,083;0;-0,817
"freedom";-2,423;-3,699;-0,689;15,759
"forcoso";0,014;-1,306;1,148;0,162
"fome";-3,116;-4,756;-0,886;20,263
"fnde";0,096;-2,67;1,495;0,401
"fitossanitario";-2,423;-3,699;-0,689;15,759
"fiscalizador";-1,591;1,941;0;-0,063
"findar";2,246;0,576;-1,083;-2,426
"filosofia";-3,462;-5,285;-0,984;22,515
"ferimento";-1,591;0,016;-1,083;2,923
"fascismo";-0,327;-3,158;-1,083;9,098
"falecer";-2,769;2,76;0,123;-0,125
"facury";-3,808;-5,813;71,615;-0,817
"facto";0,014;0,576;-1,083;-0,063
"extirpar";0,654;-1,306;0;0,162
"exploratorio";-3,462;-5,285;-0,984;22,515
"exorbitar";-0,327;1,941;-1,083;-0,063
"exatidao";-0,327;0,576;0;-0,063
"estoque";-3,808;-3,158;-1,083;18,69
"estereotipo";-3,808;-3,158;-1,083;18,69
"estabilizacao";-1,591;10,86;-1,083;-2,426
"espelhar";0,654;4,11;-1,083;-4,888
"escravidao";-3,116;-4,756;-0,886;20,263
"escorreito";-0,171;2,86;0,013;-2,024
"esclarecedor";12,734;-5,813;-1,083;-0,063
"escassez";-3,808;-5,813;-1,083;24,767
"erroneo";-1,293;1,053;-0,984;0,401
"erradicacao";-3,808;-5,813;-1,083;24,767
"equilibrar";-3,808;1,941;-1,083;1,115
"episodio";-3,808;0,576;1,148;0,162
"entrante";-0,327;-5,813;-1,083;13,467
"emprestimo";-1,591;-5,813;4,525;5,584
"emanacao";-3,808;4,11;-1,083;0,162
"elegivel";-1,293;-0,939;-0,984;7,231
"editorial";-3,808;-3,158;-1,083;18,69
"dworkin";-2,423;-3,699;-0,689;15,759
"doutorado";-3,462;-0,939;-0,984;11,386
"dissonante";-1,591;0,016;-1,083;2,923
"dissociar";-1,591;0,576;4,525;-0,817
"dirimir";2,246;0,016;0;-2,426
"diogo";-2,077;0,632;-0,591;1,043
"diocese";-3,462;-5,285;-0,984;22,515
"dialogo";-1,293;-0,939;31,95;-2,024
"devedor";4,79;-3,158;4,525;-2,426
"desmonte";-1,591;-5,813;-1,083;18,69
"descontinuidade";-1,591;-0,259;28,036;-2,426
"descabe";1,069;1,053;-0,984;-2,024
"derrotar";-3,808;7,083;-1,083;-0,063
"densificacao";-1,591;1,941;-1,083;0,162
"demasia";-1,591;4,11;4,525;-4,888
"deformacao";-0,171;9,127;-0,984;-4,444
"culpabilidade";-3,462;5,551;-0,984;-0,003
"corporacao";-3,808;-0,259;-1,083;9,098
"convergente";0,096;0,13;1,495;-2,024
"control";-1,731;0,065;-0,492;2,007
"contraindicacao";-0,327;-5,813;-1,083;13,467
"consanguineos";-3,808;20,826;-1,083;-4,888
"conotacao";-3,808;-0,259;-1,083;9,098
"congregar";8,286;-1,306;-1,083;-0,817
"conceituado";-3,116;-0,607;-0,886;9,343
"compulsoriedade";-3,808;-5,813;-1,083;24,767
"co";3,09;-5,285;-0,984;1,738
"civilizacao";-3,808;-5,813;-1,083;24,767
