"";"classe 1";"classe 2"
"agraciar";-2,508;2,508
"afrodescendentes";-2,077;2,077
"aferível";-0,977;0,977
"adiar";0,635;-0,635
"ademar";-0,023;0,023
"actual";-4,154;4,154
"achegar";0,041;-0,041
"zo";-2,373;2,373
"yale";-3,56;3,56
"xxviii";-4,451;4,451
"whatsapp";-4,451;4,451
"vimento";0,969;-0,969
"vicioso";-4,451;4,451
"vestuário";-4,451;4,451
"vernáculo";-4,451;4,451
"vergastado";-0,07;0,07
"veem";-4,451;4,451
"variedade";-4,451;4,451
"uníssono";7,885;-7,885
"unesco";-2,67;2,67
"turístico";-4,154;4,154
"tuberculose";-4,451;4,451
"trivial";0,122;-0,122
"transindividual";-4,451;4,451
"themis";-0,023;0,023
"séc";-3,857;3,857
"sá";-4,451;4,451
"sunt";-4,154;4,154
"subsolo";-4,451;4,451
"subscritor";7,885;-7,885
"sobrenome";-3,857;3,857
"sl";27,74;-27,74
"simpatia";-0,586;0,586
"servente";-4,451;4,451
"sancionamento";-4,451;4,451
"salvamento";-4,451;4,451
"romao";10,112;-10,112
"rogar";-0,07;0,07
"rocar";-0,293;0,293
"reversível";-4,451;4,451
"ressoar";-2,235;2,235
"requisitórios";-4,451;4,451
"reprodutor";-4,451;4,451
"repentino";-4,451;4,451
"relativização";-4,451;4,451
"reflorestamento";-4,451;4,451
"recuo";-4,451;4,451
"reconstituição";-4,451;4,451
"radiofusão";-4,154;4,154
"racista";-4,451;4,451
"qualificativo";-4,451;4,451
"prudencial";-4,154;4,154
"protetivos";-4,451;4,451
"prometer";-2,235;2,235
"prognoses";-4,451;4,451
"presumivelmente";-4,451;4,451
"presidency";-1,187;1,187
"presenciar";-4,154;4,154
"predomínio";-4,451;4,451
"prates";-0,89;0,89
"praga";-4,451;4,451
"pontualmente";-0,586;0,586
"pontificar";-0,07;0,07
"politicar";-3,56;3,56
"poeta";-4,451;4,451
"pnmc";-4,451;4,451
"plp";-4,451;4,451
"plantar";-3,857;3,857
"philip";-3,56;3,56
"perverso";-4,154;4,154
"perto";-4,451;4,451
"personagem";-4,154;4,154
"perpetrador";-4,451;4,451
"peixoto";0,969;-0,969
"pecúnia";-2,235;2,235
"paulatinamente";-4,451;4,451
"parcimônia";-2,235;2,235
"paralelismo";-4,451;4,451
"paragrafar";-0,414;0,414
"paradoxo";-4,451;4,451
"paradoxal";-4,451;4,451
"oriental";-4,154;4,154
"oria";0,831;-0,831
"opacidade";-4,154;4,154
"obséquio";-0,775;0,775
"nuançar";-0,775;0,775
"ntes";0,459;-0,459
"newton";-0,89;0,89
"narração";0,929;-0,929
"narcotráfico";-4,451;4,451
"muda";-1,78;1,78
"moto";-4,451;4,451
"mossoró";-2,967;2,967
"montesquieu";-4,451;4,451
"monta";-4,451;4,451
"migratório";-0,586;0,586
"metal";-4,451;4,451
"mercúrio";-4,154;4,154
"medidor";-1,187;1,187
"mattos";6,252;-6,252
"matogrossense";-4,451;4,451
"mandela";-4,154;4,154
"malice";-3,857;3,857
"londres";-3,857;3,857
"lindôra";12,428;-12,428
"lgbtqia";0,122;-0,122
"leso";-3,857;3,857
"lateral";-4,154;4,154
"lar";-2,235;2,235
"lagoa";-4,154;4,154
"lactante";-4,451;4,451
"jogador";-4,451;4,451
"joelson";0,186;-0,186
"ji";-4,451;4,451
"jaime";0,743;-0,743
"iário";-2,077;2,077
"ist";-1,78;1,78
"irresponsabilidade";-4,451;4,451
"irrecusável";-4,451;4,451
"ionizante";-4,451;4,451
"invisível";-4,154;4,154
"inverídico";-4,451;4,451
"invalidez";-4,154;4,154
"interventivos";4,811;-4,811
"interveniente";0,122;-0,122
"institutions";-2,67;2,67
"insinuar";-4,451;4,451
"infectar";-4,451;4,451
"inexorável";-4,451;4,451
"indistinto";-4,451;4,451
"indigno";-4,451;4,451
"indigenas";-2,967;2,967
"indeclinável";-0,775;0,775
"incongruente";-4,451;4,451
"inconformado";16,301;-16,301
"inapto";11,715;-11,715
"inadimplente";-0,775;0,775
"imprevisibilidade";-4,451;4,451
"historiar";-2,077;2,077
"hierarquicamente";-4,451;4,451
"heteronormatividade";-4,451;4,451
"heder";-1,78;1,78
"grão";-4,154;4,154
"geni";-0,706;0,706
"gavião";-4,451;4,451
"gato";-1,78;1,78
"fragilizado";-4,451;4,451
"flutuação";-4,451;4,451
"fefc";-4,451;4,451
"fadusp";-4,451;4,451
"facury";-4,451;4,451
"explosivo";-4,451;4,451
"excepciona";-4,451;4,451
"exagero";-4,451;4,451
"eventualidade";0,929;-0,929
"ethos";-4,451;4,451
"eternidade";-0,775;0,775
"estorno";-0,07;0,07
"estigmatização";-4,451;4,451
"estancar";2,492;-2,492
"estadunidense";-2,235;2,235
"espin";-4,451;4,451
"escudo";-4,451;4,451
"escalonado";-4,451;4,451
"errar";-3,857;3,857
"epis";-4,451;4,451
"emocional";-3,857;3,857
"eliane";4,169;-4,169
"elaborador";-4,451;4,451
"económico";-2,967;2,967
"economics";-1,483;1,483
"dólar";-3,857;3,857
"duvidar";-4,154;4,154
"diligente";-4,451;4,451
"diferimento";-2,235;2,235
"development";-1,187;1,187
"desvalorização";-0,07;0,07
"desobstrução";-4,451;4,451
"desembarque";-4,451;4,451
"desconforto";-0,07;0,07
"desamparado";-4,154;4,154
"desacreditação";0,929;-0,929
"derrogar";-0,775;0,775
"davi";12,317;-12,317
"cotidianamente";-4,451;4,451
"contrastante";-0,07;0,07
"contraponto";-1,965;1,965
"consanguíneos";-2,235;2,235
"confisco";-4,451;4,451
"conduto";-4,451;4,451
"concordata";-4,451;4,451
"colônia";-4,154;4,154
"coiab";-2,373;2,373
"coema";-0,07;0,07
"claude";-4,451;4,451
"civitas";-4,451;4,451
"cirurgia";-4,451;4,451
"cifra";-4,451;4,451
"cidadã";-2,077;2,077
"china";-3,857;3,857
"chacina";-3,56;3,56
"cerimônia";-4,451;4,451
"censório";-4,451;4,451
"cbf";-3,857;3,857
"cativo";-4,451;4,451
"capitanear";0,929;-0,929
"capitalista";-4,451;4,451
"cagepa";-0,775;0,775
"bovino";-0,138;0,138
"blindado";-4,451;4,451
"binômio";-4,451;4,451
"bilidade";-3,56;3,56
"bianca";-1,483;1,483
"bi";-3,56;3,56
"beneplácito";-2,235;2,235
"benatti";-1,78;1,78
"autotutela";-4,451;4,451
"aumentado";-4,451;4,451
"assecuratórias";-4,451;4,451
"assassino";-4,451;4,451
"asalpi";18,934;-18,934
"artefato";-4,451;4,451
"arrolamento";-4,451;4,451
"arrepio";-0,07;0,07
"arquétipo";-2,235;2,235
"arguidas";7,885;-7,885
"aranha";-3,56;3,56
"apreciá";-2,235;2,235
"antropologia";-2,373;2,373
"analogicamente";-4,451;4,451
"amortização";-4,451;4,451
"altavista";10,112;-10,112
"alijar";-4,451;4,451
"ajufe";12,317;-12,317
"adequá";-1,965;1,965
"acompanhá";7,885;-7,885
"achin";47,195;-47,195
"acelerar";-4,154;4,154
"acautelatório";0,122;-0,122
"acabado";-2,235;2,235
"abalizado";-0,07;0,07
"ário";-2,373;2,373
"ária";-4,154;4,154
"winston";-1,483;1,483
"washington";-1,439;1,439
"was";-1,78;1,78
"vulnerabilizados";-4,154;4,154
"vocacionado";-1,965;1,965
"virgem";-3,857;3,857
"violentar";-4,154;4,154
"viajar";-3,56;3,56
"vetusto";-4,154;4,154
"verticalizado";-0,586;0,586
"vento";-4,154;4,154
"velado";-4,154;4,154
"vantajosidade";-0,586;0,586
"utis";-3,857;3,857
"usufruto";-4,154;4,154
"unipessoal";-1,965;1,965
"umprimento";18,703;-18,703
"ultrapassado";9,316;-9,316
"uff";-2,67;2,67
"tropa";-1,965;1,965
"trimestral";-3,857;3,857
"tratoraço";5,836;-5,836
"transgressor";-3,857;3,857
"transfronteiriço";-4,154;4,154
"titulação";-3,857;3,857
"terminologia";-1,965;1,965
"temporalidade";-4,154;4,154
"súdito";-4,154;4,154
"suprimento";-4,154;4,154
"sudeste";-3,857;3,857
"subversivo";-4,154;4,154
"substantivar";1,307;-1,307
"subseqüente";-1,965;1,965
"subcomissão";-3,857;3,857
"speech";-2,373;2,373
"solvida";-1,965;1,965
"solene";-1,965;1,965
"sof";-3,857;3,857
"soer";-4,154;4,154
"sobrecarregar";-4,154;4,154
"shtml";-1,78;1,78
"seridó";-0,586;0,586
"senappen";-2,967;2,967
"semiárido";-4,154;4,154
"selvagem";-4,154;4,154
"self";-2,967;2,967
"seguramente";-0,017;0,017
"seae";1,134;-1,134
"robinson";-2,373;2,373
"ritcu";-4,154;4,154
"reyes";-4,154;4,154
"revogador";-0,586;0,586
"revisto";-1,699;1,699
"retardo";-4,154;4,154
"restaurante";-4,154;4,154
"ressonância";-1,965;1,965
"reprovação";-1,965;1,965
"repertório";5,836;-5,836
"rentabilidade";-4,154;4,154
"registrador";1,134;-1,134
"reequilibrar";-0,586;0,586
"reconduzíveis";-4,154;4,154
"reabilitação";-4,154;4,154
"rda";-0,263;0,263
"ranking";-4,154;4,154
"racionalmente";-1,965;1,965
"quitar";-4,154;4,154
"psiquiátrico";-4,154;4,154
"psicólogo";-4,154;4,154
"protetor";-4,154;4,154
"propter";-1,965;1,965
"proativa";-1,965;1,965
"prf";-4,154;4,154
"presid";-4,154;4,154
"preponderantemente";-4,154;4,154
"prenome";-1,699;1,699
"prefacial";0,257;-0,257
"ponderado";-4,154;4,154
"pmdb";-2,967;2,967
"pirâmide";-2,967;2,967
"pesca";-4,154;4,154
"pertencimento";-4,154;4,154
"perene";-4,154;4,154
"passeata";-4,154;4,154
"pas";-3,857;3,857
"paroquial";-4,154;4,154
"paper";-0,89;0,89
"pacote";-1,965;1,965
"outsourcing";-1,483;1,483
"oposicionista";-4,154;4,154
"omissis";-1,699;1,699
"olivia";6,52;-6,52
"oea";-3,56;3,56
"obreiro";-3,857;3,857
"nupec";-4,154;4,154
"normalização";-4,154;4,154
"nobreza";-3,857;3,857
"nazare";13,483;-13,483
"navegação";-2,967;2,967
"morcego";-3,56;3,56
"moratório";-4,154;4,154
"montanha";-4,154;4,154
"monografia";-3,56;3,56
"monitorados";-4,154;4,154
"mitidiero";-4,154;4,154
"minimização";-4,154;4,154
"microssistema";1,307;-1,307
"mestrado";-4,154;4,154
"mdr";-3,264;3,264
"martin";-3,264;3,264
"manuel";-3,857;3,857
"malversação";-1,965;1,965
"malefício";-4,154;4,154
"magnífico";7,066;-7,066
"maciço";0,257;-0,257
"lx";-0,586;0,586
"loc";0,372;-0,372
"lix";-4,154;4,154
"links";-4,154;4,154
"linhares";-0,89;0,89
"licitamente";-4,154;4,154
"lcp";-3,857;3,857
"laico";-4,154;4,154
"joinville";-1,187;1,187
"ivo";3,177;-3,177
"itbi";-0,586;0,586
"isão";21,658;-21,658
"isolar";-4,154;4,154
"irretratável";-0,017;0,017
"invisibilidade";-1,965;1,965
"intransigente";-4,154;4,154
"instrutória";-0,586;0,586
"inspiração";-4,154;4,154
"insistência";-0,017;0,017
"insidioso";-4,154;4,154
"infraero";-4,154;4,154
"informatizado";-1,965;1,965
"infeccioso";-3,56;3,56
"indene";-0,586;0,586
"incorporador";7,118;-7,118
"incindível";3,167;-3,167
"impugnável";24,612;-24,612
"imprescritibilidade";-4,154;4,154
"imazon";-0,94;0,94
"igor";6,52;-6,52
"igarapé";-1,483;1,483
"ideas";-2,67;2,67
"honestidade";-4,154;4,154
"hodiernamente";-4,154;4,154
"history";-1,187;1,187
"hipotético";1,307;-1,307
"henry";-1,483;1,483
"health";-0,89;0,89
"habitado";-4,154;4,154
"gualano";-2,077;2,077
"genuíno";-1,965;1,965
"gees";-4,154;4,154
"fábrica";-3,56;3,56
"fragmentário";9,316;-9,316
"flor";2,401;-2,401
"fiscalizatório";-4,154;4,154
"finalização";-4,154;4,154
"filósofo";-4,154;4,154
"externamente";-1,965;1,965
"explosão";-4,154;4,154
"expirado";-4,154;4,154
"exorbitar";-4,154;4,154
"exa";0,459;-0,459
"etrs";-4,154;4,154
"estatuídos";-4,154;4,154
"esquerdo";-1,965;1,965
"equalização";-4,154;4,154
"enxergar";-4,154;4,154
"engineers";-2,077;2,077
"emerson";5,446;-5,446
"embarcar";-4,154;4,154
"editorial";-3,857;3,857
"ebc";-0,89;0,89
"divorciar";-4,154;4,154
"divisível";-4,154;4,154
"desobedecer";-0,017;0,017
"desmedido";-4,154;4,154
"desmantelamento";-4,154;4,154
"design";-1,187;1,187
"desassistir";-4,154;4,154
"desaguar";-4,154;4,154
"derrotar";-4,154;4,154
"deferiam";47,195;-47,195
"decisional";-3,56;3,56
"cruzar";-0,414;0,414
"criminalizar";-4,154;4,154
"criatividade";-4,154;4,154
"credo";-3,264;3,264
"creditar";-4,154;4,154
"credenciado";-4,154;4,154
"cravo";-0,89;0,89
"cpf";-4,154;4,154
"corroer";-3,56;3,56
"corporificar";-1,965;1,965
"cornélio";-4,154;4,154
"coragem";-3,857;3,857
"convolar";13,605;-13,605
"contrastar";0,257;-0,257
"contraposto";-4,154;4,154
"contingenciar";-4,154;4,154
"conjectura";-4,154;4,154
"congestionamento";-3,857;3,857
"conformadores";-1,965;1,965
"confidencialidade";-3,56;3,56
"confeccionar";-1,965;1,965
"condenável";-1,965;1,965
"compactuar";-4,154;4,154
"comodidade";-3,857;3,857
"cominar";-1,965;1,965
"combinado";-4,154;4,154
"colib";-0,586;0,586
"coaf";-3,857;3,857
"cnteec";20,225;-20,225
"cirúrgico";-0,017;0,017
"chicago";-2,077;2,077
"centrípeto";-4,154;4,154
"casto";-3,857;3,857
"cartorário";18,703;-18,703
"carcinogênico";-4,154;4,154
"cara";3,167;-3,167
"caneta";-3,857;3,857
"candidatar";-3,857;3,857
"calamitoso";-1,965;1,965
"cabal";1,307;-1,307
"búzio";6,252;-6,252
"brilho";5,836;-5,836
"bolívia";-4,154;4,154
"boca";-3,857;3,857
"barão";-0,89;0,89
"banks";0,031;-0,031
"banheiro";-3,857;3,857
"avisar";-1,699;1,699
"atrito";-3,56;3,56
"atrapalhar";-1,699;1,699
"ativista";-3,857;3,857
"ativar";-1,965;1,965
"atipicidade";-4,154;4,154
"aterro";-4,154;4,154
"assédio";-3,56;3,56
"arraes";3,26;-3,26
"arar";15,83;-15,83
"aquático";-4,154;4,154
"aparentar";0,257;-0,257
"anúncio";-3,857;3,857
"andaterra";7,066;-7,066
"amor";-1,439;1,439
"alvejar";-1,965;1,965
"alinhavar";13,605;-13,605
"alienar";-1,965;1,965
"alcântara";-0,89;0,89
"afligir";-4,154;4,154
"act";-3,264;3,264
"abrainc";15,373;-15,373
"abin";-1,699;1,699
"abboud";-4,154;4,154
"áustria";-3,56;3,56
"zeladoria";-3,857;3,857
"youtube";-2,077;2,077
"xli";-3,857;3,857
"vivente";-3,857;3,857
"vidro";-1,78;1,78
"viciado";-3,857;3,857
"vazar";0,459;-0,459
"varejista";-3,857;3,857
"uberx";-2,077;2,077
"trocar";-3,857;3,857
"totalitário";-3,56;3,56
"tolerado";-3,857;3,857
"tipologia";-1,439;1,439
"thomson";-0,414;0,414
"text";-0,89;0,89
"temporada";-3,857;3,857
"telegram";-1,699;1,699
"teia";-2,967;2,967
"taxista";-3,857;3,857
"tangenciar";-1,439;1,439
"tamoio";-3,857;3,857
"svs";-3,857;3,857
"surpreender";-1,699;1,699
"sundfeld";-3,56;3,56
"steven";-2,373;2,373
"sortear";-0,414;0,414
"solicitador";-3,857;3,857
"socioeducativo";-3,264;3,264
"sobrar";-3,56;3,56
"snpct";-3,857;3,857
"smt";-3,857;3,857
"sisdepen";-2,67;2,67
"sintético";0;0
"simular";-3,857;3,857
"serventuário";-3,857;3,857
"servanda";-3,857;3,857
"serrinha";-0,293;0,293
"sergipano";0;0
"senda";0;0
"sacrificar";-3,857;3,857
"ribeirinho";-3,857;3,857
"reverso";-1,699;1,699
"resvalar";0,459;-0,459
"requisitará";-3,857;3,857
"repulsa";-3,857;3,857
"republicanismo";-1,699;1,699
"ren";-3,56;3,56
"rejulgamento";40,452;-40,452
"reivindicatório";-1,699;1,699
"refém";-3,56;3,56
"referibilidade";3,991;-3,991
"reconhecê";-3,857;3,857
"reconfiguração";-1,699;1,699
"reciprocamente";-0,414;0,414
"rebater";-0,414;0,414
"ração";-2,373;2,373
"rawls";-3,857;3,857
"rastreador";-3,56;3,56
"raramente";-3,857;3,857
"ramsar";-3,56;3,56
"questionável";-3,857;3,857
"principles";-1,187;1,187
"primitivo";-0,414;0,414
"pretensamente";0;0
"president";-2,077;2,077
"presentar";-0,414;0,414
"predatório";-3,857;3,857
"pre";0,02;-0,02
"potiguar";-3,857;3,857
"positivação";-3,857;3,857
"pontuação";-0,414;0,414
"policy";-2,077;2,077
"plástico";-3,857;3,857
"pichação";-3,857;3,857
"phs";23,596;-23,596
"petroquímico";-3,857;3,857
"perturbação";-3,857;3,857
"pedreira";-1,78;1,78
"patrocínio";-1,699;1,699
"pastoral";-0,89;0,89
"paranaense";-3,56;3,56
"paradoxalmente";-3,857;3,857
"pantaneiro";-3,857;3,857
"pacta";-3,857;3,857
"pablo";-2,077;2,077
"ouvidor";-2,67;2,67
"otros";-3,56;3,56
"ortiz";-1,78;1,78
"oração";-1,699;1,699
"oportunizar";0,459;-0,459
"odete";-3,264;3,264
"obscurantismo";-3,857;3,857
"münchen";-3,857;3,857
"multifinalitário";-3,857;3,857
"mit";-2,373;2,373
"ministração";-3,857;3,857
"mimetizar";-3,857;3,857
"milhoes";-2,077;2,077
"merlin";-3,857;3,857
"medina";-1,78;1,78
"medieval";-3,857;3,857
"medauar";-3,264;3,264
"mazela";-3,857;3,857
"marcador";-3,56;3,56
"maravilhoso";-3,857;3,857
"management";-1,187;1,187
"maconha";-3,857;3,857
"luigi";-2,967;2,967
"loewenstein";-3,264;3,264
"litis";3,991;-3,991
"litigar";11,012;-11,012
"listagem";-1,439;1,439
"legislativamente";-3,857;3,857
"lai";-3,857;3,857
"kit";-2,967;2,967
"kant";-3,56;3,56
"jato";-3,56;3,56
"iter";-3,857;3,857
"israel";-2,67;2,67
"irromper";-0,414;0,414
"irradiar";-3,857;3,857
"investigador";-3,857;3,857
"invenção";-3,857;3,857
"intuitivo";-1,699;1,699
"instrumentalizada";0;0
"inspetor";-0,002;0,002
"inferência";-3,857;3,857
"inep";-0,706;0,706
"indiscutivelmente";-0,414;0,414
"indiferença";-3,857;3,857
"incriminação";-1,699;1,699
"incorreção";-0,414;0,414
"incorreto";-3,857;3,857
"incompletude";0;0
"inatividade";-1,699;1,699
"inabilitação";-1,699;1,699
"imutabilidade";-0,414;0,414
"improrrogável";-3,857;3,857
"impetrantes";0,459;-0,459
"imaterial";-3,857;3,857
"idesp";21,521;-21,521
"idc";-0,414;0,414
"ibsen";-3,857;3,857
"hospedagem";-1,187;1,187
"globalizar";-0,94;0,94
"ghs";-3,857;3,857
"georges";-3,857;3,857
"gentileza";21,521;-21,521
"generosidade";0;0
"generalização";-1,439;1,439
"gavar";23,596;-23,596
"gaiola";-3,857;3,857
"freqüência";-3,857;3,857
"formador";-1,699;1,699
"fnp";-0,002;0,002
"fitossanitário";-2,67;2,67
"festa";-3,857;3,857
"ferraro";12,428;-12,428
"federalist";-3,857;3,857
"favoravelmente";0,459;-0,459
"fat";-3,857;3,857
"falcão";11,012;-11,012
"fabiana";-0,89;0,89
"externalização";-3,857;3,857
"explanar";0;0
"exortação";-0,414;0,414
"exorbita";0,459;-0,459
"exitosa";-3,857;3,857
"exequível";-3,857;3,857
"executá";-1,699;1,699
"excepcionalíssima";-3,857;3,857
"exaltar";-1,185;1,185
"estadua";-3,857;3,857
"esmiuçar";-0,414;0,414
"escólio";-1,699;1,699
"escusar";-1,699;1,699
"erb";0,02;-0,02
"equitativamente";-3,857;3,857
"environmental";-1,483;1,483
"enunciação";-3,857;3,857
"entrevistar";-3,56;3,56
"engrenagem";-3,857;3,857
"england";-1,78;1,78
"encerrado";-1,699;1,699
"encarecer";-1,699;1,699
"empecilho";-3,857;3,857
"embrionário";0;0
"embalagem";-3,857;3,857
"emarhp";-3,56;3,56
"ema";-3,857;3,857
"ely";-3,56;3,56
"eivar";-3,857;3,857
"eficacial";0,459;-0,459
"edificar";-3,857;3,857
"ditatorial";-3,857;3,857
"distrust";-3,56;3,56
"dissentir";0;0
"discricionariamente";-3,857;3,857
"discrepante";-0,414;0,414
"dipro";-3,56;3,56
"devoluto";-3,857;3,857
"devastar";-3,56;3,56
"deturpação";-0,414;0,414
"desrespeitoso";-3,857;3,857
"desligamento";-2,967;2,967
"descortinar";-3,857;3,857
"descaracterização";1,789;-1,789
"desativação";-3,857;3,857
"desacatar";-3,56;3,56
"demandante";-0,138;0,138
"deliberadamente";-3,857;3,857
"degradar";-3,56;3,56
"definitividade";3,991;-3,991
"decenal";-3,857;3,857
"dade";21,658;-21,658
"curioso";-3,857;3,857
"criterioso";-3,857;3,857
"cpge";0;0
"cosmético";0,12;-0,12
"coords";-3,857;3,857
"cooley";-3,264;3,264
"control";-1,78;1,78
"contratualmente";-1,439;1,439
"continuamente";-3,857;3,857
"contemporaneidade";-0,414;0,414
"consumer";-0,89;0,89
"consectários";-3,857;3,857
"conjuntural";-3,857;3,857
"confortável";-0,414;0,414
"condigno";-1,699;1,699
"concluso";15,83;-15,83
"compulsoriamente";-3,857;3,857
"compilar";-3,857;3,857
"common";-2,967;2,967
"comirnaty";-3,56;3,56
"cnte";0;0
"clève";-1,699;1,699
"choice";-1,187;1,187
"cgmt";-1,699;1,699
"cgedh";-1,699;1,699
"cf88";-3,56;3,56
"cedh";-2,373;2,373
"capturar";-3,857;3,857
"capricho";-3,56;3,56
"capez";-3,56;3,56
"calibre";-3,857;3,857
"bélgica";-3,857;3,857
"boneco";-3,857;3,857
"biocombustíveis";-1,78;1,78
"axioma";-1,699;1,699
"autorizador";1,789;-1,789
"autocompositiva";-0,414;0,414
"ativação";-3,857;3,857
"assimilável";-0,414;0,414
"asserção";-1,439;1,439
"ascendente";-3,857;3,857
"arrimo";-3,857;3,857
"arqueológico";-1,699;1,699
"arco";-1,483;1,483
"aracaju";-2,077;2,077
"anuir";-1,699;1,699
"anteprojeto";-3,857;3,857
"antecessor";0,459;-0,459
"aniquilar";-3,857;3,857
"angelo";12,428;-12,428
"analfabeto";-3,857;3,857
"anacrônico";-3,857;3,857
"algemar";-3,857;3,857
"alargar";-3,857;3,857
"agressivo";-3,264;3,264
"agm";12,317;-12,317
"afigurando";-3,857;3,857
"afastá";-0,414;0,414
"adriana";1,583;-1,583
"admiração";0,459;-0,459
"adjunto";4,658;-4,658
"adjudicação";-3,56;3,56
"acudir";-0,414;0,414
"acostados";0;0
"abusar";-3,56;3,56
"aborto";1,661;-1,661
"ínsitos";-0,263;0,263
"ínsitas";-1,439;1,439
"ávila";-3,264;3,264
"zeladorias";-3,56;3,56
"vinícius";-1,483;1,483
"vilipendiar";-0,263;0,263
"verticalizada";-0,263;0,263
"veemente";-1,439;1,439
"urbanizadora";0,743;-0,743
"uninominal";-3,56;3,56
"umbilicalmente";-3,56;3,56
"ufpr";-1,78;1,78
"tático";-3,56;3,56
"tushnet";-2,373;2,373
"ttos";-3,264;3,264
"tripartite";-3,56;3,56
"tribo";-0,706;0,706
"tribal";-3,56;3,56
"travado";-1,439;1,439
"transgênero";-1,439;1,439
"transgredidos";-1,439;1,439
"trajeto";-3,56;3,56
"topo";-2,373;2,373
"tjsp";0,743;-0,743
"tipping";-3,56;3,56
"terceirizadas";-3,56;3,56
"tacitamente";-1,439;1,439
"súbito";-1,439;1,439
"síncrono";-1,439;1,439
"sábio";-3,56;3,56
"susp";-3,264;3,264
"surplus";-0,89;0,89
"supramencionado";-3,56;3,56
"sucintamente";-3,56;3,56
"subscritora";24,857;-24,857
"subnotificação";-3,56;3,56
"subjetivismo";-3,56;3,56
"subjazer";-3,56;3,56
"stephen";-0,047;0,047
"spe";-2,967;2,967
"sobrevivente";-3,56;3,56
"sintapi";6,252;-6,252
"sindicabilidade";-0,263;0,263
"sidney";32,182;-32,182
"siafi";-0,263;0,263
"serventia";-3,56;3,56
"sensação";-3,56;3,56
"sdc";2,372;-2,372
"sbpc";-3,56;3,56
"salvação";0,287;-0,287
"sagrado";-1,185;1,185
"roubar";-3,264;3,264
"rotineiramente";-3,56;3,56
"robustez";-3,56;3,56
"rfb";-1,78;1,78
"revisional";-3,56;3,56
"retroativamente";-3,56;3,56
"relevar";-0,263;0,263
"relativismo";-3,56;3,56
"regis";-3,56;3,56
"refoge";0,031;-0,031
"refeição";-2,077;2,077
"redefinir";-3,264;3,264
"reconduções";-0,263;0,263
"recobrir";-0,263;0,263
"recessão";-3,264;3,264
"raposo";13,483;-13,483
"radicalmente";-3,56;3,56
"raciocinar";-3,56;3,56
"quesitação";-1,439;1,439
"querela";-1,185;1,185
"qualificá";-1,439;1,439
"péssimo";-3,56;3,56
"pânico";-3,56;3,56
"pássaro";24,857;-24,857
"pálio";-0,263;0,263
"publicum";-3,56;3,56
"publicos";6,158;-6,158
"prouni";-0,263;0,263
"prognose";-2,67;2,67
"profícuo";-1,439;1,439
"proficiência";0,743;-0,743
"presidiário";-3,56;3,56
"prescindibilidade";8,549;-8,549
"pregão";0,031;-0,031
"poupar";0,12;-0,12
"poupança";-0,94;0,94
"potestativo";-3,264;3,264
"porcentagem";-3,264;3,264
"populismo";-3,264;3,264
"polarização";-3,264;3,264
"pluralismus";-0,89;0,89
"piscar";-1,187;1,187
"pierre";-0,89;0,89
"petitar";0,287;-0,287
"personalista";-1,439;1,439
"pernicioso";-3,56;3,56
"perdimento";-1,185;1,185
"perceptível";-3,56;3,56
"pedaço";-1,439;1,439
"patologia";-3,56;3,56
"paternalista";-3,56;3,56
"pacajus";3,335;-3,335
"ousar";0,743;-0,743
"otto";-2,077;2,077
"oscilação";-3,56;3,56
"orquestrar";-3,56;3,56
"odontologia";-0,002;0,002
"odair";13,483;-13,483
"ocasional";-1,439;1,439
"observador";-3,56;3,56
"obsceno";-3,56;3,56
"nutrir";-0,263;0,263
"normativamente";-3,56;3,56
"nomen";-1,439;1,439
"natos";-3,264;3,264
"nascente";-3,56;3,56
"moratória";-3,56;3,56
"minudenciados";-3,56;3,56
"milão";-1,187;1,187
"migrar";-3,56;3,56
"metáfora";-0,488;0,488
"metrópole";-3,264;3,264
"merecido";0,031;-0,031
"menosprezo";-1,439;1,439
"menosprezar";-3,56;3,56
"meetings";-2,967;2,967
"maximizar";-3,56;3,56
"maxima";-3,56;3,56
"maurer";-2,967;2,967
"matteucci";-1,78;1,78
"marlene";-0,89;0,89
"mark";-2,373;2,373
"manus";-0,263;0,263
"macro";-3,56;3,56
"machismo";-3,56;3,56
"longínquo";-3,56;3,56
"litispendência";10,356;-10,356
"libertação";-3,56;3,56
"liberalidade";-3,56;3,56
"leque";-3,56;3,56
"lento";-3,56;3,56
"lembrança";-0,263;0,263
"lege";-3,56;3,56
"lawrence";-3,56;3,56
"laranja";-3,264;3,264
"lapidar";2,401;-2,401
"lacrar";-3,264;3,264
"justiniano";0,186;-0,186
"justificadoras";-3,56;3,56
"juruá";-3,56;3,56
"judicatura";-3,56;3,56
"jay";-3,56;3,56
"japão";-3,264;3,264
"ipiranga";-1,483;1,483
"ipi";-1,185;1,185
"inviabilização";-1,185;1,185
"inventar";-3,264;3,264
"intoxicação";-2,67;2,67
"internalizados";-3,56;3,56
"intergeneracionais";-3,56;3,56
"interfederativa";-3,264;3,264
"intangível";-3,56;3,56
"insubordinação";0,031;-0,031
"insalubridade";-3,56;3,56
"inocêncio";-0,263;0,263
"inobservado";2,401;-2,401
"informac";-1,483;1,483
"inespecífica";-1,439;1,439
"indutor";-3,56;3,56
"individualizar";-0,263;0,263
"indexador";-1,439;1,439
"inconteste";-1,439;1,439
"inconstitucionalmente";-3,56;3,56
"inconfundível";-3,56;3,56
"incisivo";-0,263;0,263
